tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,35,0,0,0,0,0,0,99.75,0.015789473684210527,0
2,20,69,0,0,0,0,3,0,99.5,0.021052631578947368,1
3,20,118,0,0,0,0,6,0,99.25,0.03684210526315789,2
4,20,150,0,0,0,0,12,0,99.0,0.03684210526315789,3
5,20,194,0,0,0,0,12,0,98.75,0.03684210526315789,4
6,20,214,0,0,0,0,15,0,98.5,0.03684210526315789,5
7,20,233,0,0,0,0,15,0,98.25,0.03684210526315789,6
8,20,253,0,0,0,0,18,0,98.0,0.03684210526315789,7
9,20,266,0,0,0,0,24,0,97.75,0.042105263157894736,8
10,20,283,0,0,0,0,30,0,97.5,0.042105263157894736,9
11,20,293,0,0,0,0,33,0,97.25,0.042105263157894736,10
12,20,303,0,0,0,0,39,0,97.0,0.042105263157894736,11
13,20,326,0,0,0,0,42,0,96.75,0.042105263157894736,12
14,20,339,0,0,0,0,42,0,96.5,0.042105263157894736,13
15,20,359,0,0,0,1,45,0,96.25,0.042105263157894736,14
16,20,375,0,0,0,1,48,0,96.0,0.042105263157894736,15
17,20,390,0,0,0,1,51,0,95.75,0.042105263157894736,16
18,20,397,0,0,0,1,54,0,95.5,0.042105263157894736,17
19,20,402,0,0,0,1,57,1,95.25,0.042105263157894736,18
20,20,411,0,0,0,1,60,2,95.0,0.042105263157894736,19
21,20,417,0,0,0,1,60,2,94.75,0.042105263157894736,20
22,20,433,0,0,0,1,66,3,94.5,0.042105263157894736,21
23,20,452,0,0,0,2,66,4,94.25,0.042105263157894736,22
24,20,465,0,0,0,2,75,4,94.0,0.042105263157894736,23
25,20,480,0,0,0,2,87,4,93.75,0.042105263157894736,24
26,20,495,0,0,0,2,93,5,93.5,0.042105263157894736,25
27,20,506,0,0,0,2,102,6,93.25,0.042105263157894736,26
28,20,521,0,0,0,2,108,6,93.0,0.042105263157894736,27
29,20,538,0,0,0,2,108,6,92.75,0.042105263157894736,28
30,20,550,0,0,0,3,111,6,92.5,0.042105263157894736,29
31,20,562,0,0,0,3,114,8,92.25,0.042105263157894736,30
32,20,582,0,0,0,3,120,10,92.0,0.042105263157894736,31
33,20,592,0,0,0,3,120,12,91.75,0.042105263157894736,32
34,20,607,0,0,0,3,123,14,91.5,0.05,33
35,20,636,0,0,0,3,123,15,91.25,0.05,34
36,20,644,0,0,0,3,129,17,91.0,0.05,35
37,20,652,0,0,0,3,135,19,90.75,0.05,36
38,20,657,0,0,0,3,141,21,90.5,0.05,37
39,20,684,0,0,0,3,144,23,90.25,0.05,38
40,20,696,0,0,0,3,150,24,90.0,0.05,39
41,20,709,0,0,0,3,150,25,89.75,0.05,40
42,20,731,0,0,0,3,150,27,89.5,0.05,41
43,20,742,0,0,0,3,153,28,89.25,0.05,42
44,20,765,0,0,0,3,153,30,89.0,0.05,43
45,20,787,0,0,0,4,153,32,88.75,0.05,44
46,20,803,0,0,0,4,156,34,88.5,0.05,45
47,20,831,0,0,0,4,162,35,88.25,0.05,46
48,20,842,0,0,0,5,165,36,88.0,0.05,47
49,20,851,0,0,0,5,168,39,87.75,0.05,48
50,20,867,0,0,0,5,168,40,87.5,0.05,49
