tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,19,0,0,0,0,3,0,99.75,0.0,0
2,20,49,0,0,0,0,9,0,99.5,0.015789473684210527,1
3,20,68,0,0,0,0,15,0,99.25,0.021052631578947368,2
4,20,81,0,0,0,0,27,0,99.0,0.02631578947368421,3
5,20,99,0,0,0,1,36,0,98.75,0.02631578947368421,4
6,20,124,0,0,0,1,42,0,98.5,0.03684210526315789,5
7,20,160,0,0,0,3,45,0,98.25,0.03684210526315789,6
8,20,174,0,0,0,3,48,1,98.0,0.042105263157894736,7
9,20,198,0,0,0,3,57,2,97.75,0.042105263157894736,8
10,20,208,0,0,0,4,60,4,97.5,0.042105263157894736,9
11,20,219,0,0,0,4,66,6,97.25,0.042105263157894736,10
12,20,237,0,0,0,4,75,8,97.0,0.042105263157894736,11
13,20,255,0,0,0,4,84,10,96.75,0.042105263157894736,12
14,20,266,0,0,0,4,90,13,96.5,0.042105263157894736,13
15,20,284,0,0,0,4,96,15,96.25,0.042105263157894736,14
16,20,301,0,0,0,5,102,15,96.0,0.042105263157894736,15
17,20,326,0,0,0,5,111,19,95.75,0.042105263157894736,16
18,20,340,0,0,0,5,117,23,95.5,0.042105263157894736,17
19,20,349,0,0,0,5,120,26,95.25,0.042105263157894736,18
20,20,366,0,0,0,5,123,28,95.0,0.042105263157894736,19
21,20,386,0,0,0,5,126,29,94.75,0.042105263157894736,20
22,20,411,0,0,0,5,129,29,94.5,0.042105263157894736,21
23,20,428,0,0,0,5,138,30,94.25,0.042105263157894736,22
24,20,443,0,0,0,5,144,32,94.0,0.042105263157894736,23
25,20,466,0,0,0,5,147,35,93.75,0.042105263157894736,24
26,20,491,0,0,0,5,153,36,93.5,0.042105263157894736,25
27,20,503,0,0,0,5,159,40,93.25,0.042105263157894736,26
28,20,518,0,0,0,5,165,42,93.0,0.042105263157894736,27
29,20,533,0,0,0,5,171,44,92.75,0.042105263157894736,28
30,20,548,0,0,0,5,174,47,92.5,0.042105263157894736,29
31,20,566,0,0,0,5,177,50,92.25,0.042105263157894736,30
32,20,575,0,0,0,5,186,51,92.0,0.042105263157894736,31
33,20,577,0,0,0,5,189,56,91.75,0.042105263157894736,32
34,20,595,0,0,0,5,189,60,91.5,0.042105263157894736,33
35,20,609,0,0,0,5,192,61,91.25,0.042105263157894736,34
36,20,631,0,0,0,6,195,62,91.0,0.042105263157894736,35
37,20,640,0,0,0,6,204,63,90.75,0.042105263157894736,36
38,20,664,0,0,0,6,210,63,90.5,0.042105263157894736,37
39,20,678,0,0,0,6,216,64,90.25,0.042105263157894736,38
40,20,695,0,0,0,6,216,67,90.0,0.04736842105263158,39
41,20,706,0,0,0,6,219,68,89.75,0.04736842105263158,40
42,20,731,0,0,0,6,219,71,89.5,0.04736842105263158,41
43,20,743,0,0,0,6,222,73,89.25,0.04736842105263158,42
44,20,758,0,0,0,6,222,75,89.0,0.04736842105263158,43
45,20,767,0,0,0,6,228,77,88.75,0.04736842105263158,44
46,20,783,0,0,0,6,234,79,88.5,0.04736842105263158,45
47,20,790,0,0,0,6,237,81,88.25,0.04736842105263158,46
48,20,806,0,0,0,6,240,84,88.0,0.04736842105263158,47
49,20,814,0,0,0,6,246,87,87.75,0.04736842105263158,48
50,20,833,0,0,0,6,249,89,87.5,0.04736842105263158,49
