num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival,tick
15,13,0,0,0,0,3,0,99.83333333333333,0.0,0,1
15,30,0,0,0,0,12,0,99.66666666666667,0.0,1,2
15,39,0,0,0,0,21,0,99.5,0.0,2,3
15,43,0,0,0,0,30,0,99.33333333333333,0.0,3,4
15,49,0,0,0,0,39,0,99.16666666666667,0.0,4,5
15,52,0,0,0,0,39,0,99.0,0.0,5,6
15,55,0,0,0,2,45,0,98.83333333333333,0.0,6,7
15,58,0,0,0,2,54,2,98.66666666666667,0.0,7,8
15,58,0,0,0,3,57,4,98.5,0.0,8,9
15,58,0,0,0,6,57,5,98.33333333333333,0.0,9,10
15,60,0,0,0,7,66,6,98.16666666666667,0.0,10,11
15,61,0,0,0,7,69,8,98.0,0.0,11,12
15,62,0,0,0,7,75,9,97.83333333333333,0.0,12,13
15,62,0,0,0,7,81,11,97.66666666666667,0.0,13,14
15,66,0,0,1,6,87,13,97.5,0.0,14,15
15,68,0,0,1,6,93,13,97.33333333333333,0.0,15,16
15,68,0,0,1,6,99,15,97.16666666666667,0.0,16,17
15,70,0,0,1,6,105,17,97.0,0.0,17,18
15,70,0,0,1,7,108,19,96.83333333333333,0.0,18,19
15,70,0,0,1,7,114,21,96.66666666666667,0.0,19,20
