tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,18,0,0,0,0,3,0,99.75,0.0,0
2,20,55,0,0,0,0,6,0,99.5,0.015789473684210527,1
3,20,69,0,0,0,0,9,0,99.25,0.021052631578947368,2
4,20,87,0,0,0,2,18,0,99.0,0.02631578947368421,3
5,20,113,0,0,0,2,27,1,98.75,0.02631578947368421,4
6,20,149,0,0,0,3,30,1,98.5,0.03684210526315789,5
7,20,179,0,0,0,3,36,2,98.25,0.03684210526315789,6
8,20,196,0,0,0,3,39,3,98.0,0.042105263157894736,7
9,20,219,0,0,0,3,48,3,97.75,0.042105263157894736,8
10,20,232,0,0,0,3,51,6,97.5,0.042105263157894736,9
11,20,249,0,0,0,3,57,8,97.25,0.042105263157894736,10
12,20,264,0,0,0,3,66,10,97.0,0.042105263157894736,11
13,20,277,0,0,0,3,78,11,96.75,0.042105263157894736,12
14,20,292,0,0,0,3,84,14,96.5,0.042105263157894736,13
15,20,317,0,0,0,3,93,14,96.25,0.042105263157894736,14
16,20,331,0,0,0,3,99,15,96.0,0.042105263157894736,15
17,20,345,0,0,0,3,105,19,95.75,0.042105263157894736,16
18,20,353,0,0,0,3,111,23,95.5,0.042105263157894736,17
19,20,360,0,0,0,3,117,25,95.25,0.042105263157894736,18
20,20,372,0,0,0,3,120,27,95.0,0.042105263157894736,19
21,20,395,0,0,0,3,123,28,94.75,0.042105263157894736,20
22,20,440,0,0,0,3,126,28,94.5,0.042105263157894736,21
23,20,456,0,0,0,3,132,29,94.25,0.042105263157894736,22
24,20,482,0,0,1,2,138,31,94.0,0.042105263157894736,23
25,20,500,0,0,1,2,147,32,93.75,0.042105263157894736,24
26,20,527,0,0,1,2,150,33,93.5,0.042105263157894736,25
27,20,544,0,0,1,2,159,35,93.25,0.042105263157894736,26
28,20,566,0,0,1,2,165,36,93.0,0.042105263157894736,27
29,20,588,0,0,1,2,177,36,92.75,0.042105263157894736,28
30,20,608,0,0,1,2,180,38,92.5,0.042105263157894736,29
31,20,630,0,0,2,1,186,40,92.25,0.042105263157894736,30
32,20,652,0,0,2,1,198,40,92.0,0.042105263157894736,31
33,20,670,0,0,2,1,210,40,91.75,0.042105263157894736,32
34,20,693,0,0,2,2,210,41,91.5,0.042105263157894736,33
35,20,708,0,0,2,2,216,41,91.25,0.042105263157894736,34
36,20,735,0,0,2,2,225,41,91.0,0.042105263157894736,35
37,20,754,0,0,2,2,228,42,90.75,0.042105263157894736,36
38,20,772,0,0,2,2,234,42,90.5,0.042105263157894736,37
39,20,787,0,0,2,2,243,42,90.25,0.042105263157894736,38
40,20,796,0,0,2,2,246,44,90.0,0.042105263157894736,39
41,20,809,0,0,2,2,255,45,89.75,0.042105263157894736,40
42,20,825,0,0,2,2,258,47,89.5,0.042105263157894736,41
43,20,845,0,0,2,2,261,48,89.25,0.042105263157894736,42
44,20,867,0,0,2,3,264,49,89.0,0.042105263157894736,43
45,20,871,0,0,2,3,273,52,88.75,0.042105263157894736,44
46,20,887,0,0,3,2,276,55,88.5,0.042105263157894736,45
47,20,897,0,0,3,2,282,56,88.25,0.042105263157894736,46
48,20,904,0,0,3,2,285,59,88.0,0.042105263157894736,47
49,20,921,0,0,3,3,288,62,87.75,0.04736842105263158,48
50,20,942,0,0,3,3,291,65,87.5,0.04736842105263158,49
