tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,66,0,0,0,0,0,0,99.5,0.021052631578947368,0
2,20,179,0,0,0,0,9,0,99.0,0.04736842105263158,1
3,20,238,0,0,0,0,15,0,98.5,0.05263157894736842,2
4,20,311,0,0,0,0,24,0,98.0,0.05789473684210526,3
5,20,370,0,0,0,0,30,0,97.5,0.05789473684210526,4
6,20,409,0,0,0,0,36,0,97.0,0.05789473684210526,5
7,20,449,0,0,0,0,42,0,96.5,0.05789473684210526,6
8,20,487,0,0,0,0,48,0,96.0,0.05789473684210526,7
9,20,510,0,0,0,0,54,0,95.5,0.05789473684210526,8
10,20,540,0,0,0,0,60,0,95.0,0.05789473684210526,9
11,20,571,0,0,0,0,66,0,94.5,0.05789473684210526,10
12,20,592,0,0,0,0,72,0,94.0,0.05789473684210526,11
13,20,618,0,0,0,0,78,0,93.5,0.05789473684210526,12
14,20,635,0,0,0,0,87,0,93.0,0.05789473684210526,13
15,20,653,0,0,0,0,96,0,92.5,0.05789473684210526,14
16,20,675,0,0,0,0,105,0,92.0,0.05789473684210526,15
17,20,698,0,0,0,0,111,0,91.5,0.05789473684210526,16
18,20,717,0,0,0,0,117,0,91.0,0.05789473684210526,17
19,20,744,0,0,0,0,126,0,90.5,0.05789473684210526,18
20,20,764,0,0,0,0,138,0,90.0,0.05789473684210526,19
21,20,785,0,0,0,0,144,0,89.5,0.05789473684210526,20
22,20,822,0,0,0,0,153,0,89.0,0.05789473684210526,21
23,20,848,0,0,0,0,162,0,88.5,0.05789473684210526,22
24,20,866,0,0,0,0,171,0,88.0,0.05789473684210526,23
25,20,884,0,0,0,0,180,0,87.5,0.05789473684210526,24
26,20,909,0,0,0,0,189,0,87.0,0.05789473684210526,25
27,20,937,0,0,0,0,201,0,86.5,0.05789473684210526,26
28,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,27
29,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,28
30,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,29
31,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,30
32,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,31
33,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,32
34,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,33
35,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,34
36,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,35
37,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,36
38,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,37
39,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,38
40,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,39
41,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,40
42,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,41
43,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,42
44,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,43
45,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,44
46,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,45
47,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,46
48,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,47
49,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,48
50,20,957,0,0,0,0,204,0,86.05,0.05789473684210526,49
