vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival,total_words_invented,alive_words,extinct_words,mean_word_lifetime,max_word_lifetime,max_peak_adoption,llm_calls,llm_failures,seed,label
83,0,0,0,1,135,1,96.66666666666667,0.0,19,12,12,0,15.5,19,1,100,0,1,baseline
94,0,0,0,7,141,18,96.66666666666667,0.0,19,12,12,0,17.0,19,1,100,0,2,baseline
82,0,0,0,6,135,12,96.66666666666667,0.0,19,10,10,0,16.1,19,2,100,0,3,baseline
