tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,24,0,0,0,0,0,0,99.75,0.005263157894736842,0
2,20,75,0,0,0,0,6,0,99.5,0.021052631578947368,1
3,20,98,0,0,0,0,6,0,99.25,0.031578947368421054,2
4,20,118,0,0,0,0,6,0,99.0,0.03684210526315789,3
5,20,131,0,0,0,0,9,0,98.75,0.042105263157894736,4
6,20,154,0,0,0,0,12,0,98.5,0.042105263157894736,5
7,20,176,0,0,0,0,12,0,98.25,0.04736842105263158,6
8,20,195,0,0,0,0,15,0,98.0,0.04736842105263158,7
9,20,211,0,0,0,0,21,0,97.75,0.04736842105263158,8
10,20,226,0,0,0,0,27,0,97.5,0.04736842105263158,9
11,20,237,0,0,0,0,30,0,97.25,0.04736842105263158,10
12,20,254,0,0,0,0,30,0,97.0,0.04736842105263158,11
13,20,268,0,0,0,0,30,0,96.75,0.04736842105263158,12
14,20,281,0,0,0,0,33,0,96.5,0.05,13
15,20,289,0,0,0,0,39,0,96.25,0.05,14
16,20,306,0,0,0,0,42,0,96.0,0.05,15
17,20,319,0,0,0,0,45,0,95.75,0.05,16
18,20,329,0,0,0,0,48,0,95.5,0.05,17
19,20,345,0,0,0,0,51,0,95.25,0.05,18
20,20,376,0,0,0,0,51,0,95.0,0.05,19
21,20,386,0,0,0,0,51,0,94.75,0.05,20
22,20,407,0,0,0,0,57,0,94.5,0.05,21
23,20,410,0,0,0,0,63,0,94.25,0.05,22
24,20,422,0,0,0,0,66,0,94.0,0.05526315789473684,23
25,20,441,0,0,0,0,69,0,93.75,0.05526315789473684,24
26,20,454,0,0,0,0,75,0,93.5,0.05526315789473684,25
27,20,472,0,0,0,0,78,0,93.25,0.05526315789473684,26
28,20,485,0,0,0,0,78,0,93.0,0.05526315789473684,27
29,20,512,0,0,0,0,84,0,92.75,0.05526315789473684,28
30,20,521,0,0,0,0,90,0,92.5,0.05526315789473684,29
31,20,533,0,0,0,0,90,0,92.25,0.05526315789473684,30
32,20,543,0,0,0,0,93,0,92.0,0.05526315789473684,31
33,20,555,0,0,0,0,102,0,91.75,0.05526315789473684,32
34,20,568,0,0,0,0,102,0,91.5,0.05526315789473684,33
35,20,581,0,0,0,0,105,0,91.25,0.05789473684210526,34
36,20,594,0,0,0,0,108,0,91.0,0.05789473684210526,35
37,20,608,0,0,0,0,111,0,90.75,0.05789473684210526,36
38,20,618,0,0,0,0,117,0,90.5,0.05789473684210526,37
39,20,630,0,0,0,0,123,0,90.25,0.05789473684210526,38
40,20,635,0,0,0,0,126,0,90.0,0.05789473684210526,39
41,20,652,0,0,0,0,132,0,89.75,0.05789473684210526,40
42,20,658,0,0,0,0,141,0,89.5,0.05789473684210526,41
43,20,666,0,0,0,0,144,0,89.25,0.05789473684210526,42
44,20,678,0,0,0,0,147,0,89.0,0.05789473684210526,43
45,20,685,0,0,0,0,153,0,88.75,0.05789473684210526,44
46,20,696,0,0,0,0,159,0,88.5,0.05789473684210526,45
47,20,710,0,0,0,0,162,0,88.25,0.05789473684210526,46
48,20,724,0,0,0,0,168,0,88.0,0.05789473684210526,47
49,20,740,0,0,0,0,174,0,87.75,0.05789473684210526,48
50,20,747,0,0,0,0,180,0,87.5,0.05789473684210526,49
