num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival,tick
15,14,0,0,0,0,3,0,99.83333333333333,0.0,0,1
15,22,0,0,0,0,9,0,99.66666666666667,0.0,1,2
15,27,0,0,0,0,12,0,99.5,0.0,2,3
15,32,0,0,0,0,18,0,99.33333333333333,0.0,3,4
15,34,0,0,0,0,21,0,99.16666666666667,0.0,4,5
15,39,0,0,0,0,33,0,99.0,0.0,5,6
15,43,0,0,0,0,45,0,98.83333333333333,0.0,6,7
15,46,0,0,0,0,57,0,98.66666666666667,0.0,7,8
15,49,0,0,0,0,63,0,98.5,0.0,8,9
15,53,0,0,0,0,72,0,98.33333333333333,0.0,9,10
15,58,0,0,0,0,84,0,98.16666666666667,0.0,10,11
15,59,0,0,0,0,87,0,98.0,0.0,11,12
15,61,0,0,0,0,96,0,97.83333333333333,0.0,12,13
15,65,0,0,0,0,108,0,97.66666666666667,0.0,13,14
15,65,0,0,0,3,108,1,97.5,0.0,14,15
15,65,0,0,0,3,111,5,97.33333333333333,0.0,15,16
15,69,0,0,0,3,120,6,97.16666666666667,0.0,16,17
15,79,0,0,0,4,126,8,97.0,0.0,17,18
15,80,0,0,0,5,132,9,96.83333333333333,0.0,18,19
15,82,0,0,0,6,135,12,96.66666666666667,0.0,19,20
