tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,54,0,0,0,0,0,0,99.5,0.015789473684210527,0
2,20,135,0,0,0,0,3,0,99.0,0.03684210526315789,1
3,20,204,0,0,0,0,9,0,98.5,0.042105263157894736,2
4,20,271,0,0,0,0,12,0,98.0,0.042105263157894736,3
5,20,312,0,0,0,0,15,0,97.5,0.042105263157894736,4
6,20,361,0,0,0,0,24,0,97.0,0.04736842105263158,5
7,20,397,0,0,0,0,27,0,96.5,0.04736842105263158,6
8,20,423,0,0,0,0,30,0,96.0,0.04736842105263158,7
9,20,442,0,0,0,0,36,0,95.525,0.04736842105263158,8
10,20,469,0,0,0,0,39,0,95.05,0.04736842105263158,9
11,20,494,0,0,0,0,42,0,94.55,0.04736842105263158,10
12,20,541,0,0,0,0,45,0,94.15,0.05263157894736842,11
13,20,579,0,0,0,0,51,0,93.65,0.05263157894736842,12
14,20,622,0,0,0,0,54,0,93.15,0.05263157894736842,13
15,20,665,0,0,0,0,57,0,92.65,0.05263157894736842,14
16,20,717,0,0,0,0,60,0,92.15,0.05263157894736842,15
17,20,756,0,0,0,0,63,0,91.65,0.05263157894736842,16
18,20,806,0,0,0,0,66,0,91.15,0.060526315789473685,17
19,20,858,0,0,0,0,69,0,90.65,0.060526315789473685,18
20,20,900,0,0,0,0,72,0,90.15,0.060526315789473685,19
21,20,941,0,0,0,0,75,0,89.65,0.060526315789473685,20
22,20,974,0,0,0,0,78,0,89.15,0.060526315789473685,21
23,20,1008,0,0,0,0,81,0,88.65,0.060526315789473685,22
24,20,1048,0,0,0,0,84,0,88.15,0.060526315789473685,23
25,20,1086,0,0,0,0,87,0,87.65,0.060526315789473685,24
26,20,1111,0,0,0,0,90,0,87.15,0.060526315789473685,25
27,20,1133,0,0,0,0,93,0,86.65,0.060526315789473685,26
28,20,1151,0,0,0,0,96,0,86.15,0.060526315789473685,27
29,20,1175,0,0,0,0,99,0,85.65,0.060526315789473685,28
30,20,1194,0,0,0,0,102,0,85.15,0.060526315789473685,29
31,20,1213,0,0,0,0,105,0,84.65,0.060526315789473685,30
32,20,1234,0,0,0,0,108,0,84.15,0.060526315789473685,31
33,20,1256,0,0,0,0,111,0,83.65,0.060526315789473685,32
34,20,1282,0,0,0,0,114,0,83.15,0.060526315789473685,33
35,20,1323,0,0,0,0,117,0,82.65,0.060526315789473685,34
36,20,1347,0,0,0,0,120,0,82.15,0.060526315789473685,35
37,20,1376,0,0,0,0,123,0,81.65,0.060526315789473685,36
38,20,1404,0,0,0,0,126,0,81.15,0.060526315789473685,37
39,20,1430,0,0,0,0,129,0,80.65,0.060526315789473685,38
40,20,1472,0,0,0,0,132,0,80.15,0.060526315789473685,39
41,20,1497,0,0,0,0,135,0,79.65,0.060526315789473685,40
42,20,1521,0,0,0,0,138,0,79.15,0.060526315789473685,41
43,20,1545,0,0,0,0,141,0,78.65,0.060526315789473685,42
44,20,1564,0,0,0,0,144,0,78.15,0.060526315789473685,43
45,20,1586,0,0,0,0,147,0,77.65,0.060526315789473685,44
46,20,1618,0,0,0,0,150,0,77.15,0.060526315789473685,45
47,20,1641,0,0,0,0,153,0,76.65,0.060526315789473685,46
48,20,1674,0,0,0,0,156,0,76.15,0.060526315789473685,47
49,20,1707,0,0,0,0,159,0,75.65,0.060526315789473685,48
50,20,1738,0,0,0,0,162,0,75.15,0.060526315789473685,49
