tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,17,0,0,0,0,0,0,99.75,0.010526315789473684,0
2,20,48,0,0,0,0,3,0,99.5,0.02631578947368421,1
3,20,68,0,0,0,1,3,0,99.25,0.031578947368421054,2
4,20,103,0,0,0,2,6,1,99.0,0.031578947368421054,3
5,20,122,0,0,0,2,6,2,98.75,0.03684210526315789,4
6,20,140,0,0,0,2,9,3,98.5,0.03684210526315789,5
7,20,171,0,0,0,2,12,3,98.25,0.03684210526315789,6
8,20,173,0,0,0,2,12,4,98.0,0.03684210526315789,7
9,20,185,0,0,0,2,15,5,97.75,0.03684210526315789,8
10,20,210,0,0,0,2,21,5,97.5,0.03684210526315789,9
11,20,221,0,0,0,2,27,6,97.25,0.03684210526315789,10
12,20,234,0,0,0,2,30,6,97.0,0.03684210526315789,11
13,20,240,0,0,0,2,33,8,96.75,0.03684210526315789,12
14,20,243,0,0,0,2,39,10,96.5,0.03684210526315789,13
15,20,261,0,0,0,2,39,11,96.25,0.03684210526315789,14
16,20,278,0,0,0,2,51,11,96.0,0.03684210526315789,15
17,20,285,0,0,0,2,57,11,95.75,0.03684210526315789,16
18,20,298,0,0,0,2,63,13,95.5,0.03684210526315789,17
19,20,315,0,0,0,2,66,15,95.25,0.03684210526315789,18
20,20,326,0,0,0,2,69,16,95.0,0.03684210526315789,19
21,20,337,0,0,0,2,72,16,94.75,0.03684210526315789,20
22,20,342,0,0,0,2,72,17,94.5,0.042105263157894736,21
23,20,354,0,0,0,2,75,17,94.25,0.04736842105263158,22
24,20,361,0,0,0,2,81,18,94.0,0.04736842105263158,23
25,20,379,0,0,0,2,90,18,93.75,0.05,24
26,20,403,0,0,0,3,96,18,93.5,0.05,25
27,20,422,0,0,0,4,99,19,93.25,0.05,26
28,20,441,0,0,0,4,102,19,93.0,0.05,27
29,20,457,0,0,0,4,108,20,92.75,0.05,28
30,20,471,0,0,0,4,111,21,92.5,0.05,29
31,20,490,0,0,0,4,117,21,92.25,0.05263157894736842,30
32,20,510,0,0,0,4,117,22,92.0,0.05263157894736842,31
33,20,522,0,0,0,4,123,22,91.75,0.05263157894736842,32
34,20,534,0,0,0,5,126,23,91.5,0.05263157894736842,33
35,20,548,0,0,0,5,132,23,91.25,0.05263157894736842,34
36,20,552,0,0,0,5,138,23,91.0,0.05263157894736842,35
37,20,559,0,0,0,5,141,24,90.75,0.05263157894736842,36
38,20,580,0,0,0,5,144,25,90.5,0.05263157894736842,37
39,20,598,0,0,0,5,147,26,90.25,0.05263157894736842,38
40,20,623,0,0,0,5,147,26,90.0,0.05263157894736842,39
41,20,637,0,0,0,5,156,28,89.75,0.05263157894736842,40
42,20,646,0,0,0,5,156,30,89.5,0.05263157894736842,41
43,20,663,0,0,0,5,159,32,89.25,0.05263157894736842,42
44,20,668,0,0,0,5,162,33,89.0,0.05263157894736842,43
45,20,680,0,0,0,5,162,35,88.75,0.05263157894736842,44
46,20,700,0,0,0,5,165,36,88.5,0.05263157894736842,45
47,20,704,0,0,0,5,165,37,88.25,0.05263157894736842,46
48,20,711,0,0,0,5,171,38,88.0,0.05263157894736842,47
49,20,722,0,0,0,5,177,38,87.75,0.05263157894736842,48
50,20,734,0,0,0,5,177,38,87.5,0.05263157894736842,49
