tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,54,0,0,0,0,0,0,99.75,0.021052631578947368,0
2,20,81,0,0,0,1,0,0,99.5,0.02894736842105263,1
3,20,126,0,0,0,1,0,1,99.25,0.034210526315789476,2
4,20,142,0,0,0,1,3,1,99.0,0.039473684210526314,3
5,20,168,0,0,0,1,3,1,98.75,0.039473684210526314,4
6,20,204,0,0,0,1,3,1,98.5,0.04473684210526316,5
7,20,233,0,0,0,1,3,1,98.25,0.04473684210526316,6
8,20,241,0,0,0,1,3,1,98.0,0.04473684210526316,7
9,20,261,0,0,0,1,3,1,97.75,0.05,8
10,20,279,0,0,0,1,3,1,97.5,0.05,9
11,20,296,0,0,0,1,3,2,97.25,0.05,10
12,20,320,0,0,0,1,3,2,97.0,0.05,11
13,20,340,0,0,0,1,3,2,96.75,0.05,12
14,20,360,0,0,0,1,3,2,96.5,0.05,13
15,20,382,0,0,0,1,3,2,96.25,0.05,14
16,20,406,0,0,0,1,3,2,96.0,0.05,15
17,20,426,0,0,0,1,3,3,95.75,0.05,16
18,20,437,0,0,0,1,6,3,95.5,0.05,17
19,20,460,0,0,0,1,9,3,95.25,0.05526315789473684,18
20,20,473,0,0,0,1,9,4,95.0,0.05526315789473684,19
21,20,485,0,0,0,1,9,4,94.75,0.05526315789473684,20
22,20,493,0,0,0,1,9,5,94.5,0.05526315789473684,21
23,20,507,0,0,0,1,9,7,94.25,0.05526315789473684,22
24,20,518,0,0,0,1,9,8,94.0,0.05526315789473684,23
25,20,523,0,0,0,1,9,10,93.75,0.05526315789473684,24
26,20,532,0,0,0,1,9,10,93.5,0.05526315789473684,25
27,20,542,0,0,0,1,9,12,93.25,0.05526315789473684,26
28,20,551,0,0,0,1,9,14,93.0,0.05526315789473684,27
29,20,557,0,0,0,1,9,15,92.75,0.05526315789473684,28
30,20,562,0,0,0,1,9,16,92.5,0.05526315789473684,29
31,20,572,0,0,0,1,9,18,92.25,0.05526315789473684,30
32,20,584,0,0,0,1,9,18,92.0,0.05526315789473684,31
33,20,601,0,0,0,1,9,18,91.75,0.05526315789473684,32
34,20,618,0,0,0,1,9,19,91.5,0.05526315789473684,33
35,20,635,0,0,0,1,9,20,91.25,0.05526315789473684,34
36,20,646,0,0,0,1,9,22,91.0,0.05526315789473684,35
37,20,654,0,0,0,1,12,23,90.75,0.05526315789473684,36
38,20,667,0,0,0,1,12,24,90.5,0.05526315789473684,37
39,20,678,0,0,0,1,12,25,90.25,0.05526315789473684,38
40,20,686,0,0,0,1,12,26,90.0,0.05526315789473684,39
41,20,697,0,0,0,1,12,27,89.75,0.05526315789473684,40
42,20,705,0,0,0,1,12,28,89.5,0.05526315789473684,41
43,20,712,0,0,0,1,15,29,89.25,0.05526315789473684,42
44,20,723,0,0,0,1,15,30,89.0,0.05789473684210526,43
45,20,736,0,0,0,1,15,32,88.75,0.05789473684210526,44
46,20,749,0,0,0,1,15,32,88.5,0.05789473684210526,45
47,20,754,0,0,0,1,15,34,88.25,0.05789473684210526,46
48,20,763,0,0,0,2,15,35,88.0,0.05789473684210526,47
49,20,768,0,0,0,2,18,36,87.75,0.05789473684210526,48
50,20,775,0,0,0,2,18,38,87.5,0.05789473684210526,49
