tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,55,0,0,0,0,0,0,99.5,0.021052631578947368,0
2,20,167,0,0,0,0,6,0,99.0,0.04736842105263158,1
3,20,224,0,0,0,0,15,0,98.5,0.05263157894736842,2
4,20,312,0,0,0,0,24,0,98.0,0.05263157894736842,3
5,20,375,0,0,0,0,30,0,97.5,0.05263157894736842,4
6,20,413,0,0,0,0,39,0,97.0,0.05263157894736842,5
7,20,457,0,0,0,0,48,0,96.5,0.05263157894736842,6
8,20,498,0,0,0,0,57,0,96.0,0.05263157894736842,7
9,20,527,0,0,0,0,66,0,95.5,0.05263157894736842,8
10,20,569,0,0,0,0,75,0,95.0,0.05263157894736842,9
11,20,604,0,0,0,0,84,0,94.5,0.05263157894736842,10
12,20,641,0,0,0,0,87,0,94.0,0.05263157894736842,11
13,20,676,0,0,0,0,93,0,93.5,0.05263157894736842,12
14,20,710,0,0,0,0,102,0,93.0,0.05263157894736842,13
15,20,753,0,0,0,0,111,0,92.5,0.05263157894736842,14
16,20,788,0,0,0,0,120,0,92.0,0.05263157894736842,15
17,20,812,0,0,0,0,129,0,91.5,0.05263157894736842,16
18,20,828,0,1,0,0,135,0,91.0,0.05263157894736842,17
19,20,874,0,1,0,0,144,0,90.5,0.05263157894736842,18
20,20,905,0,1,0,0,153,0,90.0,0.05263157894736842,19
21,20,923,0,1,0,0,159,0,89.5,0.05263157894736842,20
22,20,945,0,1,0,0,168,0,89.0,0.05263157894736842,21
23,20,970,0,1,0,0,177,0,88.5,0.05263157894736842,22
24,20,996,0,1,0,0,186,0,88.0,0.05263157894736842,23
25,20,1033,0,1,0,0,195,0,87.5,0.05263157894736842,24
26,20,1061,0,1,0,0,204,0,87.0,0.05263157894736842,25
27,20,1094,0,1,0,0,213,0,86.5,0.05263157894736842,26
28,20,1114,0,1,0,0,222,0,86.0,0.05263157894736842,27
29,20,1135,0,1,0,0,231,0,85.5,0.05263157894736842,28
30,20,1149,0,1,0,0,237,0,85.0,0.05263157894736842,29
31,20,1171,0,1,0,0,249,0,84.5,0.05263157894736842,30
32,20,1197,0,1,0,0,261,0,84.0,0.05526315789473684,31
33,20,1224,0,1,0,0,270,0,83.5,0.05526315789473684,32
34,20,1269,0,1,0,0,279,0,83.0,0.05526315789473684,33
35,20,1300,0,1,0,0,285,0,82.5,0.05526315789473684,34
36,20,1323,0,1,0,0,291,0,82.0,0.05526315789473684,35
37,20,1348,0,1,0,0,297,0,81.5,0.05526315789473684,36
38,20,1384,0,1,0,0,306,0,81.0,0.05526315789473684,37
39,20,1418,0,1,0,0,318,0,80.5,0.05526315789473684,38
40,20,1449,0,1,0,0,330,0,80.0,0.05526315789473684,39
41,20,1490,0,1,0,0,336,0,79.5,0.05526315789473684,40
42,20,1541,0,1,0,0,345,0,79.0,0.05526315789473684,41
43,20,1564,0,1,0,0,354,0,78.5,0.05526315789473684,42
44,20,1596,0,1,0,0,360,0,78.0,0.05526315789473684,43
45,20,1621,0,1,0,0,366,0,77.5,0.05526315789473684,44
46,20,1650,0,1,0,0,372,0,77.0,0.05526315789473684,45
47,20,1675,0,1,0,0,378,0,76.5,0.05526315789473684,46
48,20,1694,0,1,0,0,384,0,76.0,0.05526315789473684,47
49,20,1713,0,1,0,0,390,0,75.5,0.05526315789473684,48
50,20,1733,0,1,0,0,396,0,75.025,0.05526315789473684,49
