tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,20,0,0,0,0,0,0,99.75,0.005263157894736842,0
2,20,78,0,0,0,0,6,0,99.5,0.021052631578947368,1
3,20,98,0,0,0,0,6,0,99.25,0.031578947368421054,2
4,20,135,0,0,0,0,6,0,99.0,0.03684210526315789,3
5,20,158,0,0,0,0,9,0,98.75,0.042105263157894736,4
6,20,175,0,0,0,0,12,0,98.5,0.042105263157894736,5
7,20,191,0,0,0,0,12,0,98.25,0.042105263157894736,6
8,20,209,0,0,0,0,12,0,98.0,0.04473684210526316,7
9,20,215,0,0,0,0,15,0,97.75,0.04473684210526316,8
10,20,222,0,0,0,0,18,0,97.5,0.04473684210526316,9
11,20,231,0,0,0,0,21,0,97.25,0.05,10
12,20,246,0,0,0,0,24,0,97.0,0.05,11
13,20,263,0,0,0,0,24,0,96.75,0.05,12
14,20,276,0,0,0,0,27,0,96.5,0.05526315789473684,13
15,20,278,0,0,0,0,30,0,96.25,0.05789473684210526,14
16,20,302,0,0,0,0,33,0,96.0,0.05789473684210526,15
17,20,326,0,0,0,0,36,0,95.75,0.05789473684210526,16
18,20,342,0,0,0,0,36,0,95.5,0.05789473684210526,17
19,20,357,0,0,0,0,36,0,95.25,0.05789473684210526,18
20,20,367,0,0,0,0,39,0,95.0,0.05789473684210526,19
21,20,385,0,0,0,0,45,0,94.75,0.05789473684210526,20
22,20,405,0,0,0,0,54,0,94.5,0.05789473684210526,21
23,20,410,0,0,0,0,66,0,94.25,0.05789473684210526,22
24,20,426,0,0,0,0,69,0,94.0,0.05789473684210526,23
25,20,447,0,0,0,0,72,0,93.75,0.05789473684210526,24
26,20,463,0,0,0,0,78,0,93.5,0.05789473684210526,25
27,20,477,0,0,0,0,84,0,93.25,0.05789473684210526,26
28,20,507,0,0,0,0,84,0,93.0,0.05789473684210526,27
29,20,529,0,0,0,0,90,0,92.75,0.05789473684210526,28
30,20,542,0,0,0,0,96,0,92.5,0.05789473684210526,29
31,20,556,0,0,0,0,99,0,92.25,0.05789473684210526,30
32,20,569,0,0,0,0,105,0,92.0,0.05789473684210526,31
33,20,577,0,0,0,0,111,0,91.75,0.05789473684210526,32
34,20,597,0,0,0,0,114,0,91.5,0.05789473684210526,33
35,20,611,0,0,0,0,120,0,91.25,0.05789473684210526,34
36,20,628,0,1,0,0,123,0,91.0,0.05789473684210526,35
37,20,650,0,1,0,0,126,0,90.75,0.05789473684210526,36
38,20,667,0,1,0,0,132,0,90.5,0.05789473684210526,37
39,20,691,0,1,0,0,138,0,90.25,0.05789473684210526,38
40,20,712,0,1,0,0,141,0,90.0,0.05789473684210526,39
41,20,728,0,1,0,0,144,0,89.75,0.05789473684210526,40
42,20,744,0,1,0,0,150,0,89.5,0.05789473684210526,41
43,20,756,0,1,0,0,153,0,89.25,0.05789473684210526,42
44,20,777,0,1,0,0,156,0,89.0,0.05789473684210526,43
45,20,798,0,1,0,0,162,0,88.75,0.05789473684210526,44
46,20,812,0,1,0,0,168,0,88.5,0.05789473684210526,45
47,20,827,0,1,0,0,174,0,88.25,0.05789473684210526,46
48,20,845,0,1,0,0,180,0,88.0,0.05789473684210526,47
49,20,854,0,1,0,0,183,0,87.75,0.05789473684210526,48
50,20,864,0,1,0,0,189,0,87.5,0.05789473684210526,49
