tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,22,0,0,0,0,0,0,99.75,0.010526315789473684,0
2,20,59,0,0,0,0,3,0,99.5,0.015789473684210527,1
3,20,87,0,0,0,0,6,0,99.25,0.02631578947368421,2
4,20,101,0,0,0,0,6,0,99.0,0.02631578947368421,3
5,20,124,0,0,0,0,9,0,98.75,0.031578947368421054,4
6,20,143,0,0,0,0,15,0,98.5,0.031578947368421054,5
7,20,155,0,0,0,0,18,0,98.25,0.031578947368421054,6
8,20,177,0,0,0,0,21,0,98.0,0.03684210526315789,7
9,20,191,0,0,0,0,24,0,97.75,0.03684210526315789,8
10,20,198,0,0,0,0,30,0,97.5,0.03684210526315789,9
11,20,218,0,0,0,0,33,0,97.25,0.03684210526315789,10
12,20,223,0,0,0,0,39,0,97.0,0.03684210526315789,11
13,20,236,0,0,0,0,42,0,96.75,0.042105263157894736,12
14,20,244,0,0,0,0,42,0,96.5,0.042105263157894736,13
15,20,254,0,0,0,0,42,0,96.25,0.042105263157894736,14
16,20,263,0,0,0,0,48,0,96.0,0.042105263157894736,15
17,20,284,0,0,0,0,54,0,95.75,0.042105263157894736,16
18,20,300,0,0,0,0,57,0,95.5,0.042105263157894736,17
19,20,314,0,0,0,0,63,0,95.25,0.042105263157894736,18
20,20,329,0,0,0,0,66,0,95.0,0.042105263157894736,19
21,20,340,0,0,0,0,66,0,94.75,0.042105263157894736,20
22,20,356,0,0,0,0,66,0,94.5,0.042105263157894736,21
23,20,369,0,0,0,0,72,0,94.25,0.042105263157894736,22
24,20,380,0,0,0,0,78,0,94.0,0.042105263157894736,23
25,20,395,0,0,0,0,84,0,93.75,0.042105263157894736,24
26,20,398,0,0,0,0,96,0,93.5,0.042105263157894736,25
27,20,409,0,0,0,0,96,0,93.25,0.042105263157894736,26
28,20,422,0,0,0,0,99,0,93.025,0.04736842105263158,27
29,20,430,0,0,0,0,105,0,92.775,0.04736842105263158,28
30,20,431,0,0,0,0,108,0,92.525,0.04736842105263158,29
31,20,454,0,0,0,0,111,0,92.275,0.05526315789473684,30
32,20,478,0,0,0,0,114,0,92.025,0.05526315789473684,31
33,20,501,0,0,0,0,120,0,91.775,0.05526315789473684,32
34,20,519,0,0,0,0,123,0,91.525,0.05526315789473684,33
35,20,531,0,0,0,0,129,0,91.275,0.05526315789473684,34
36,20,545,0,0,0,0,132,0,91.025,0.05526315789473684,35
37,20,553,0,0,0,0,138,0,90.775,0.05526315789473684,36
38,20,569,0,0,0,0,141,0,90.525,0.05526315789473684,37
39,20,586,0,0,0,0,147,0,90.275,0.05526315789473684,38
40,20,608,0,0,0,0,150,0,90.025,0.05526315789473684,39
41,20,634,0,0,0,0,156,0,89.775,0.05526315789473684,40
42,20,647,0,0,0,0,156,0,89.525,0.05526315789473684,41
43,20,668,0,0,0,0,159,0,89.275,0.060526315789473685,42
44,20,683,0,0,0,0,162,0,89.025,0.060526315789473685,43
45,20,693,0,0,0,0,162,0,88.775,0.060526315789473685,44
46,20,714,0,0,0,0,162,0,88.525,0.060526315789473685,45
47,20,719,0,0,0,0,165,0,88.275,0.060526315789473685,46
48,20,735,0,0,0,0,168,0,88.025,0.060526315789473685,47
49,20,771,0,0,0,0,168,0,87.775,0.060526315789473685,48
50,20,795,0,0,0,0,171,0,87.525,0.060526315789473685,49
