tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,13,0,0,0,0,0,0,99.75,0.005263157894736842,0
2,20,49,0,0,0,0,0,0,99.5,0.021052631578947368,1
3,20,94,0,0,0,0,3,0,99.25,0.031578947368421054,2
4,20,121,0,0,0,0,3,0,99.0,0.03684210526315789,3
5,20,146,0,0,0,0,3,0,98.75,0.03684210526315789,4
6,20,165,0,0,0,0,3,0,98.5,0.03684210526315789,5
7,20,192,0,0,0,0,6,0,98.25,0.042105263157894736,6
8,20,217,0,0,0,0,9,0,98.0,0.042105263157894736,7
9,20,241,0,0,0,1,9,0,97.75,0.042105263157894736,8
10,20,263,0,0,0,1,9,0,97.5,0.042105263157894736,9
11,20,281,0,0,0,1,12,0,97.25,0.042105263157894736,10
12,20,299,0,0,0,1,12,0,97.0,0.042105263157894736,11
13,20,312,0,0,0,1,15,0,96.75,0.042105263157894736,12
14,20,325,0,0,0,1,15,0,96.5,0.042105263157894736,13
15,20,341,0,0,0,1,21,0,96.25,0.042105263157894736,14
16,20,356,0,0,0,1,24,0,96.0,0.042105263157894736,15
17,20,380,0,0,0,2,27,0,95.75,0.042105263157894736,16
18,20,394,0,0,0,2,27,0,95.5,0.042105263157894736,17
19,20,416,0,0,0,2,30,0,95.25,0.042105263157894736,18
20,20,427,0,0,0,2,30,1,95.0,0.042105263157894736,19
21,20,447,0,0,0,2,33,1,94.75,0.042105263157894736,20
22,20,467,0,0,0,3,36,1,94.5,0.042105263157894736,21
23,20,475,0,0,0,3,36,3,94.25,0.042105263157894736,22
24,20,487,0,0,0,3,39,5,94.0,0.042105263157894736,23
25,20,499,0,0,0,3,39,5,93.75,0.042105263157894736,24
26,20,505,0,0,0,3,39,6,93.5,0.042105263157894736,25
27,20,511,0,0,0,3,39,7,93.25,0.042105263157894736,26
28,20,518,0,0,0,3,39,9,93.0,0.042105263157894736,27
29,20,531,0,0,0,3,42,10,92.75,0.042105263157894736,28
30,20,545,0,0,0,3,45,11,92.5,0.04736842105263158,29
31,20,558,0,0,0,3,48,13,92.25,0.04736842105263158,30
32,20,566,0,0,0,3,48,14,92.0,0.04736842105263158,31
33,20,578,0,0,0,3,48,15,91.75,0.04736842105263158,32
34,20,583,0,0,0,3,51,15,91.5,0.04736842105263158,33
35,20,586,0,0,0,3,54,16,91.25,0.04736842105263158,34
36,20,598,0,0,0,3,54,18,91.0,0.04736842105263158,35
37,20,612,0,0,0,3,57,18,90.75,0.04736842105263158,36
38,20,625,0,0,0,3,60,19,90.5,0.04736842105263158,37
39,20,627,0,0,0,3,63,21,90.25,0.04736842105263158,38
40,20,637,0,0,0,3,63,23,90.0,0.04736842105263158,39
41,20,671,0,0,0,3,63,23,89.75,0.04736842105263158,40
42,20,681,0,0,0,3,66,24,89.5,0.04736842105263158,41
43,20,699,0,0,0,3,69,25,89.25,0.04736842105263158,42
44,20,717,0,0,0,3,69,26,89.0,0.04736842105263158,43
45,20,730,0,0,0,3,72,27,88.75,0.04736842105263158,44
46,20,731,0,0,0,3,75,29,88.5,0.04736842105263158,45
47,20,741,0,0,0,3,78,29,88.25,0.04736842105263158,46
48,20,754,0,0,0,3,81,29,88.0,0.04736842105263158,47
49,20,767,0,0,0,3,84,31,87.75,0.04736842105263158,48
50,20,780,0,0,0,3,87,32,87.5,0.04736842105263158,49
