tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,15,5,0,0,0,0,0,0,99.83333333333333,0.0,0
2,15,29,0,0,0,0,9,0,99.66666666666667,0.0,1
3,15,42,0,0,0,0,18,0,99.5,0.0,2
4,15,47,0,0,0,0,30,0,99.33333333333333,0.0,3
5,15,52,0,0,0,0,39,0,99.16666666666667,0.0,4
6,15,55,0,0,0,0,39,0,99.0,0.0,5
7,15,60,0,0,0,2,45,0,98.83333333333333,0.0,6
8,15,64,0,0,0,2,54,2,98.66666666666667,0.0,7
9,15,66,0,0,0,3,60,4,98.5,0.0,8
10,15,69,0,0,0,4,66,6,98.33333333333333,0.0,9
11,15,79,0,0,0,4,78,7,98.16666666666667,0.0,10
12,15,79,0,0,0,5,84,9,98.0,0.0,11
13,15,79,0,0,0,6,90,10,97.83333333333333,0.0,12
14,15,83,0,0,0,6,99,11,97.66666666666667,0.0,13
15,15,83,0,0,0,6,105,12,97.5,0.0,14
16,15,87,0,0,0,6,111,12,97.33333333333333,0.0,15
17,15,89,0,0,0,6,117,14,97.16666666666667,0.0,16
18,15,92,0,0,0,6,123,15,97.0,0.0,17
19,15,94,0,0,0,7,129,17,96.83333333333333,0.0,18
20,15,94,0,0,0,7,141,18,96.66666666666667,0.0,19
